pid,Price,tid,Sale_Year,Home_Size,Parcel_Size,Beds,Age,Pool_Val,CBD_DIST,X_Coordinate,Y_Coordinate
288,312.352,957,2005,2693,40609,3,20,1,16546.77,587423.4,1544652.0
289,132.264,7892,2004,1408,12995,3,13,0,10741.32,515365.7,1560485.0
290,135.785,7359,2002,1801,10144,3,11,0,13057.25,494507.4,1545588.0
291,176.764,1842,2002,3520,4998,5,3,0,8499.79,514321.3,1550000.0
293,155.663,2717,2004,1868,5972,4,4,0,19350.94,471417.6,1534480.0
295,120.424,7272,2000,1628,10125,3,12,0,14846.21,578932.4,1551825.0
296,289.444,3032,2003,2774,14652,4,0,1,18522.89,474392.5,1524608.0
297,126.515,1872,2004,1108,3439,2,6,0,18701.65,539098.6,1469868.0
299,275.162,9538,2003,2855,10121,4,0,1,13971.09,575955.5,1551387.0
302,144.073,6884,2002,1948,5500,3,0,0,25057.55,616782.9,1538012.0
304,187.358,9170,2001,2136,8625,3,0,0,11924.69,572564.8,1520695.0
305,210.281,1954,2004,2032,9505,3,5,0,23601.81,485704.3,1590982.0
306,687.994,8333,2005,3887,15435,5,6,1,19662.97,492643.9,1482268.0
309,106.709,2344,2001,1657,10872,3,15,0,14920.69,487782.6,1544659.0
311,203.95,3012,2002,2298,8819,4,0,0,21994.37,585648.9,1479827.0
313,144.555,3819,2002,2039,8690,4,10,0,12472.93,571940.9,1513807.0
315,81.894,7598,2001,1597,7310,3,37,0,8140.89,530960.0,1504662.0
316,74.122,3401,2000,1173,8539,3,0,0,18088.82,491041.1,1571177.0
318,90.084,4440,2001,1522,10188,4,28,0,9864.43,507817.5,1548933.0
319,110.144,1439,2000,1742,6529,3,7,0,12046.56,568304.5,1510050.0
320,181.302,3177,2004,1386,6234,3,24,0,3981.02,533840.1,1544125.0
323,105.442,3967,2000,1314,7131,3,7,0,9178.05,561575.9,1517229.0
325,170.124,5330,2003,1861,10586,4,0,0,20028.91,530392.3,1465514.0
326,223.323,9897,2001,2792,10846,3,9,1,19842.18,523533.6,1466965.0
327,83.946,1999,2001,1200,7366,3,16,0,19641.68,597906.1,1544428.0
328,478.467,4711,2002,2292,55308,4,14,1,17453.87,479146.1,1517684.0
330,69.042,232,2001,1267,8083,3,27,0,25353.75,474982.8,1588903.0
331,120.361,3129,2000,2376,7501,5,18,0,10107.93,503112.1,1540796.0
334,113.485,7455,2003,1782,10732,3,9,0,12687.26,494650.0,1542000.0
335,114.921,1901,2003,1644,9243,4,42,1,9013.39,508325.1,1544221.0
336,137.712,2320,2002,1468,7644,3,5,1,18099.68,502965.5,1581226.0
337,138.735,6600,2003,1453,2875,3,0,0,23646.25,611925.9,1522159.0
340,173.765,1685,2002,1610,8700,3,18,0,14103.45,498460.5,1502475.0
341,123.067,3745,2003,1240,8658,3,18,0,13241.1,572226.4,1508951.0
342,107.841,9277,2003,1152,12392,3,44,0,10219.31,559485.5,1553842.0
344,268.504,6856,2004,2142,7992,4,2,0,20744.37,510355.2,1467569.0
348,117.352,2395,2000,1623,12001,3,5,0,12925.07,493984.6,1542523.0
349,118.775,1330,2001,1874,5624,3,0,0,16878.16,541666.0,1476127.0
353,253.97,6747,2005,2130,5623,4,10,1,18373.35,595124.3,1529864.0
354,132.899,8699,2000,1065,6800,2,45,0,3377.29,530092.3,1541115.0
355,250.612,3309,2003,2738,15428,5,15,1,12804.04,501666.7,1505272.0
356,315.565,743,2001,3495,10910,4,37,1,7350.61,553238.8,1546696.0
360,75.165,1965,2000,1176,8250,4,20,0,14333.47,579651.6,1545399.0
361,94.784,7456,2000,1246,3240,3,0,0,20707.8,535682.9,1463141.0
367,149.529,3183,2001,2014,12619,4,19,1,12535.75,571185.1,1550370.0
368,336.061,5781,2001,3572,28905,4,0,1,18223.28,475511.7,1524004.0
369,180.202,8099,2002,1976,34382,4,5,0,27111.44,490496.5,1608241.0
371,356.268,1683,2003,3906,27284,4,0,1,26454.54,487475.4,1603864.0
373,80.068,7888,2003,1025,5983,3,22,0,12497.92,507414.6,1561602.0
375,75.342,9823,2002,1116,10429,2,27,0,19692.18,489167.7,1576828.0
376,190.09,124,2003,960,269496,1,36,0,24917.13,453935.8,1519158.0
378,242.835,3832,2002,3688,9019,5,0,0,22589.15,461397.1,1520954.0
379,92.184,4545,2000,1427,4722,3,0,0,8451.93,562339.4,1534707.0
380,917.095,6492,2002,3128,10376,4,1,1,7866.28,549119.8,1552603.0
381,50.102,472,2002,1014,13500,2,51,0,4893.37,528287.6,1516434.0
382,274.178,6022,2002,2652,6873,5,2,0,2778.43,535297.4,1540205.0
383,170.699,2952,2002,1817,3640,3,0,0,16354.7,505357.4,1575961.0
384,119.262,9535,2001,1642,8200,3,0,0,11851.08,500613.4,1549580.0
386,234.969,3247,2002,3080,19283,4,0,1,19645.21,476938.0,1502729.0
387,224.988,1152,2004,2582,7565,4,0,0,16356.93,587945.8,1523273.0
388,154.018,931,2004,1842,6062,3,7,0,21314.09,601594.4,1551993.0
391,96.536,1798,2002,1437,10564,3,48,0,6999.55,530235.9,1508591.0
392,124.604,8430,2002,1334,5750,3,9,0,16810.65,529560.0,1476176.0
393,108.183,9784,2002,1379,8442,3,33,0,4785.68,546851.7,1520982.0
395,153.244,1381,2003,1402,11360,3,43,0,9035.35,548625.3,1557358.0
396,614.854,7198,2000,2400,58457,3,21,0,18847.56,485500.8,1493025.0
397,119.774,7105,2002,1392,6756,3,8,0,9712.68,563940.1,1518094.0
398,155.468,597,2002,1607,5609,3,12,1,21463.57,521373.4,1461954.0
399,518.672,1224,2003,5372,25911,4,14,1,15611.12,490436.4,1505531.0
400,143.703,5743,2001,1690,5635,4,2,0,19144.61,597566.2,1527520.0
401,29.686,1369,2002,806,15972,2,72,0,9871.44,522140.2,1560904.0
402,100.171,654,2004,1170,5752,3,0,0,6878.42,512686.6,1526738.0
403,93.775,2640,2003,1290,8378,3,32,1,8305.62,512632.8,1546910.0
404,341.505,262,2005,2507,23075,4,13,1,12334.3,496315.9,1518654.0
406,49.911,3908,2000,1100,1999,3,14,0,21992.3,462676.2,1532689.0
407,683.963,4138,2004,2887,28896,4,29,1,9401.11,545897.1,1559948.0
409,176.724,7687,2004,1823,9902,3,17,0,13065.83,492379.7,1537118.0
412,89.186,6968,2003,1370,7110,4,31,0,19226.9,596336.6,1545224.0
413,221.163,5571,2000,2411,12262,4,12,1,12458.91,499031.2,1511351.0
414,135.175,8187,2002,1449,5225,4,0,0,14413.83,578493.1,1512879.0
417,68.519,5492,2002,1000,6757,3,42,0,11585.43,513819.6,1499411.0
423,144.608,4522,2004,1327,11175,3,21,1,11256.71,507593.7,1556051.0
424,101.83,5636,2002,1451,3399,4,8,0,15323.67,502333.0,1569474.0
425,171.259,245,2003,1684,6601,4,0,1,21427.69,605128.6,1533235.0
426,77.916,4611,2002,1130,7909,3,32,0,12683.48,501336.9,1555807.0
427,112.279,5263,2001,1579,5720,3,8,0,14110.84,580818.1,1525584.0
428,78.536,552,2000,1158,6116,3,13,0,10764.64,502932.9,1546290.0
429,289.777,7601,2002,2234,10075,3,8,1,1681.76,536898.8,1525978.0
430,277.914,2824,2001,3050,12358,3,2,1,20218.71,601023.8,1526358.0
431,154.833,4148,2001,1534,11795,3,19,1,7592.32,550772.4,1511942.0
432,211.113,4933,2004,2216,9267,3,1,0,23845.64,479103.3,1586041.0
434,263.753,5833,2003,1826,4266,3,6,0,2087.25,529518.6,1535416.0
435,130.408,5661,2000,1652,5539,3,10,0,21469.36,522033.3,1461809.0
436,340.876,9730,2005,2338,13295,4,4,1,21016.35,511414.1,1466222.0
437,128.09,9354,2001,1784,4400,3,0,0,23744.3,457833.6,1519078.0
438,180.685,5077,2002,2371,11628,4,0,0,14865.62,491020.8,1552557.0
440,124.341,9565,2003,1304,6601,2,33,0,10831.68,567569.9,1544963.0
441,96.462,6668,2003,1163,3577,3,9,0,21078.52,538772.6,1462031.0
443,145.287,2465,2002,1522,10739,3,36,1,8055.22,540552.3,1505286.0
445,133.22,3479,2002,1419,13065,3,19,0,6930.29,555086.8,1520741.0
448,161.712,8524,2002,2202,12849,4,14,1,11829.55,573232.8,1525351.0
450,239.075,3425,2003,2735,7101,4,0,1,20995.37,510189.8,1466750.0
454,170.468,5078,2004,1850,2555,3,15,0,15253.9,496914.6,1498414.0
457,570.177,9981,2005,3493,12842,4,1,1,13211.22,491985.2,1524483.0
458,189.339,6794,2001,2598,9230,4,6,1,16931.5,533339.9,1475549.0
459,137.057,7472,2003,1451,11177,4,30,0,8491.41,553541.8,1510440.0
460,69.32,8649,2000,1098,8182,2,42,0,8117.16,508779.8,1536643.0
461,196.513,2784,2003,2299,6077,4,3,0,21650.73,509980.6,1464530.0
462,139.491,2067,2003,1943,12777,4,15,1,13195.21,492510.4,1540259.0
463,199.272,9160,2003,2261,14620,4,5,1,15917.65,482667.3,1528359.0
464,136.741,8605,2003,1577,5053,3,6,0,15202.63,584698.1,1532903.0
466,244.032,7315,2000,2520,12494,4,0,1,17995.07,476056.9,1525359.0
470,196.518,6202,2003,2042,6466,4,0,0,23488.68,458085.1,1523818.0
472,133.797,1188,2004,1517,7905,4,42,0,9227.57,529600.1,1501269.0
474,102.826,6127,2001,1619,8775,3,48,0,7541.33,559567.6,1530127.0
475,153.832,5974,2004,1660,2909,3,0,0,22389.87,607304.4,1518929.0
476,450.157,3751,2004,2837,24000,4,15,1,18660.07,474591.0,1520097.0
477,154.736,4608,2001,1928,8055,3,0,0,18950.28,472679.1,1528964.0
478,137.258,2026,2004,1538,9294,3,14,0,9346.68,565506.3,1531677.0
479,145.18,6799,2001,1898,8193,4,6,0,7022.51,553679.1,1517826.0
480,234.685,9582,2001,2848,10575,3,0,0,16627.47,588147.0,1519439.0
483,82.004,4674,2004,1350,8711,3,39,0,3746.14,523424.6,1526523.0
484,102.801,4154,2000,1612,7449,3,15,0,13924.94,577191.3,1548263.0
485,133.373,8401,2004,1278,1701,2,0,0,17704.1,592810.6,1534980.0
487,236.608,4459,2004,2529,12593,4,0,0,26639.18,485185.8,1603060.0
488,199.048,7182,2001,1438,8653,3,49,0,5155.83,545116.1,1544538.0
489,114.021,5793,2004,1498,7249,4,18,0,8295.55,507610.4,1531334.0
490,95.161,8910,2000,1309,4004,3,0,0,10292.54,565505.9,1516936.0
491,224.317,5670,2003,2293,10959,4,16,1,12357.32,498581.1,1512922.0
493,103.761,9378,2004,1528,6501,4,41,0,9271.27,555767.1,1509012.0
496,99.443,955,2001,1265,5610,3,5,0,15269.21,498926.6,1566052.0
498,102.691,5001,2004,1093,6571,3,18,0,10437.99,520689.4,1562297.0
500,447.343,7755,2002,3888,14928,4,1,1,18167.6,482783.9,1502016.0
502,150.631,870,2000,1859,16215,4,12,1,7152.1,550154.8,1513312.0
507,125.846,2982,2003,1206,4059,2,0,0,23121.44,608870.3,1514446.0
510,234.668,9357,2001,2508,11245,4,3,0,17513.25,499890.4,1485464.0
512,166.369,6709,2004,1918,5251,4,13,1,18438.61,521049.1,1472174.0
514,67.246,470,2002,1200,12003,3,48,0,20568.46,492111.0,1583361.0
515,215.147,8030,2003,1858,5594,3,0,0,17023.53,571273.8,1488744.0
517,148.361,4895,2003,1483,5000,3,5,0,19100.92,597451.3,1528065.0
518,267.95,8531,2001,3100,7979,5,1,1,15099.33,583114.9,1519921.0
520,142.956,3740,2002,1739,11417,3,0,0,14255.81,581483.6,1527485.0
522,86.467,1653,2004,1025,7641,3,33,0,18129.91,501818.6,1580605.0
523,103.027,4908,2004,2257,9839,4,44,0,8979.09,506232.6,1538186.0
524,165.491,2940,2005,1659,10058,3,40,1,8430.76,551321.9,1553320.0
525,141.928,182,2004,1546,11461,3,25,0,10709.95,569341.0,1524395.0
526,89.839,7475,2000,1268,7000,3,0,0,8904.39,505633.0,1529941.0
528,100.428,1455,2005,1125,8235,3,31,0,10831.11,507211.7,1553469.0
530,112.897,1441,2001,1310,4924,3,0,0,12169.7,513110.3,1564612.0
531,191.195,4139,2002,2153,7354,4,8,1,16952.1,590259.3,1526233.0
532,259.402,156,2004,2010,17270,3,10,0,12412.03,499584.4,1510684.0
533,7629.992,720,2003,10796,86488,6,2,1,17902.64,481460.0,1506538.0
534,164.013,1712,2003,1704,5941,3,0,0,13083.41,573633.5,1512698.0
535,292.692,6593,2004,1980,10456,5,37,0,7454.46,549740.8,1550499.0
536,165.694,6530,2000,1708,6326,3,0,0,10982.02,504389.5,1511809.0
537,301.658,7825,2002,2338,15745,3,0,0,19984.94,479611.6,1495711.0
539,153.242,7148,2000,2075,7177,4,0,0,17241.79,506683.6,1580184.0
541,264.735,1089,2001,2765,10817,4,0,0,20623.27,529375.8,1463634.0
